name,type,sponsoring_org,iana_url
.aaa,generic,"American Automobile Association, Inc.",https://www.iana.org/domains/root/db/aaa.html
.aarp,generic,AARP,https://www.iana.org/domains/root/db/aarp.html
.abarth,generic,Fiat Chrysler Automobiles N.V.,https://www.iana.org/domains/root/db/abarth.html
.abb,generic,ABB Ltd,https://www.iana.org/domains/root/db/abb.html
.abbott,generic,"Abbott Laboratories, Inc.",https://www.iana.org/domains/root/db/abbott.html
.abbvie,generic,AbbVie Inc.,https://www.iana.org/domains/root/db/abbvie.html
.abc,generic,"Disney Enterprises, Inc.",https://www.iana.org/domains/root/db/abc.html
.able,generic,Able Inc.,https://www.iana.org/domains/root/db/able.html
.abogado,generic,Top Level Domain Holdings Limited,https://www.iana.org/domains/root/db/abogado.html
.abudhabi,generic,Abu Dhabi Systems and Information Centre,https://www.iana.org/domains/root/db/abudhabi.html
.ac,country-code,"Network Information Center (AC Domain Registry)
c/o Cable and Wireless (Ascension Island)",https://www.iana.org/domains/root/db/ac.html
.academy,generic,"Half Oaks, LLC",https://www.iana.org/domains/root/db/academy.html
.accenture,generic,Accenture plc,https://www.iana.org/domains/root/db/accenture.html
.accountant,generic,dot Accountant Limited,https://www.iana.org/domains/root/db/accountant.html
.accountants,generic,"Knob Town, LLC",https://www.iana.org/domains/root/db/accountants.html
.aco,generic,ACO Severin Ahlmann GmbH & Co. KG,https://www.iana.org/domains/root/db/aco.html
.active,generic,"The Active Network, Inc",https://www.iana.org/domains/root/db/active.html
.actor,generic,United TLD Holdco Ltd.,https://www.iana.org/domains/root/db/actor.html
.ad,country-code,Andorra Telecom,https://www.iana.org/domains/root/db/ad.html
.adac,generic,Allgemeiner Deutscher Automobil-Club e.V. (ADAC),https://www.iana.org/domains/root/db/adac.html
.ads,generic,Charleston Road Registry Inc.,https://www.iana.org/domains/root/db/ads.html
.adult,generic,ICM Registry AD LLC,https://www.iana.org/domains/root/db/adult.html
.ae,country-code,Telecommunication Regulatory Authority (TRA),https://www.iana.org/domains/root/db/ae.html
.aeg,generic,Aktiebolaget Electrolux,https://www.iana.org/domains/root/db/aeg.html
.aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),https://www.iana.org/domains/root/db/aero.html
.aetna,generic,Aetna Life Insurance Company,https://www.iana.org/domains/root/db/aetna.html
.af,country-code,Ministry of Communications and IT,https://www.iana.org/domains/root/db/af.html
.afamilycompany,generic,"Johnson Shareholdings, Inc.",https://www.iana.org/domains/root/db/afamilycompany.html
.afl,generic,Australian Football League,https://www.iana.org/domains/root/db/afl.html
.ag,country-code,UHSA School of Medicine,https://www.iana.org/domains/root/db/ag.html
.agakhan,generic,Fondation Aga Khan (Aga Khan Foundation),https://www.iana.org/domains/root/db/agakhan.html
.agency,generic,"Steel Falls, LLC",https://www.iana.org/domains/root/db/agency.html
.ai,country-code,Government of Anguilla,https://www.iana.org/domains/root/db/ai.html
.aig,generic,"American International Group, Inc.",https://www.iana.org/domains/root/db/aig.html
.aigo,generic,"aigo Digital Technology Co,Ltd.",https://www.iana.org/domains/root/db/aigo.html
.airbus,generic,Airbus S.A.S.,https://www.iana.org/domains/root/db/airbus.html
.airforce,generic,United TLD Holdco Ltd.,https://www.iana.org/domains/root/db/airforce.html
.airtel,generic,Bharti Airtel Limited,https://www.iana.org/domains/root/db/airtel.html
.akdn,generic,Fondation Aga Khan (Aga Khan Foundation),https://www.iana.org/domains/root/db/akdn.html
.al,country-code,Electronic and Postal Communications Authority - AKEP,https://www.iana.org/domains/root/db/al.html
.alfaromeo,generic,Fiat Chrysler Automobiles N.V.,https://www.iana.org/domains/root/db/alfaromeo.html
.alibaba,generic,Alibaba Group Holding Limited,https://www.iana.org/domains/root/db/alibaba.html
.alipay,generic,Alibaba Group Holding Limited,https://www.iana.org/domains/root/db/alipay.html
.allfinanz,generic,Allfinanz Deutsche Vermögensberatung Aktiengesellschaft,https://www.iana.org/domains/root/db/allfinanz.html
.allstate,generic,Allstate Fire and Casualty Insurance Company,https://www.iana.org/domains/root/db/allstate.html
.ally,generic,Ally Financial Inc.,https://www.iana.org/domains/root/db/ally.html
.alsace,generic,REGION D ALSACE,https://www.iana.org/domains/root/db/alsace.html
.alstom,generic,ALSTOM,https://www.iana.org/domains/root/db/alstom.html
.am,country-code,"""Internet Society"" Non-governmental Organization",https://www.iana.org/domains/root/db/am.html
.americanexpress,generic,"American Express Travel Related Services Company, Inc.",https://www.iana.org/domains/root/db/americanexpress.html
.americanfamily,generic,"AmFam, Inc.",https://www.iana.org/domains/root/db/americanfamily.html
.amex,generic,"American Express Travel Related Services Company, Inc.",https://www.iana.org/domains/root/db/amex.html
.amfam,generic,"AmFam, Inc.",https://www.iana.org/domains/root/db/amfam.html
.amica,generic,Amica Mutual Insurance Company,https://www.iana.org/domains/root/db/amica.html
.amsterdam,generic,Gemeente Amsterdam,https://www.iana.org/domains/root/db/amsterdam.html
.an,country-code,Retired,https://www.iana.org/domains/root/db/an.html
.analytics,generic,Campus IP LLC,https://www.iana.org/domains/root/db/analytics.html
.android,generic,Charleston Road Registry Inc.,https://www.iana.org/domains/root/db/android.html
.anquan,generic,QIHOO 360 TECHNOLOGY CO. LTD.,https://www.iana.org/domains/root/db/anquan.html
.anz,generic,Australia and New Zealand Banking Group Limited,https://www.iana.org/domains/root/db/anz.html
.ao,country-code,Faculdade de Engenharia da Universidade Agostinho Neto,https://www.iana.org/domains/root/db/ao.html
.apartments,generic,"June Maple, LLC",https://www.iana.org/domains/root/db/apartments.html
.app,generic,Charleston Road Registry Inc.,https://www.iana.org/domains/root/db/app.html
.apple,generic,Apple Inc.,https://www.iana.org/domains/root/db/apple.html
.aq,country-code,Antarctica Network Information Centre Limited,https://www.iana.org/domains/root/db/aq.html
.aquarelle,generic,Aquarelle.com,https://www.iana.org/domains/root/db/aquarelle.html
.ar,country-code,Presidencia de la Nación – Secretaría Legal y Técnica,https://www.iana.org/domains/root/db/ar.html
.aramco,generic,Aramco Services Company,https://www.iana.org/domains/root/db/aramco.html
.archi,generic,STARTING DOT LIMITED,https://www.iana.org/domains/root/db/archi.html
.army,generic,United TLD Holdco Ltd.,https://www.iana.org/domains/root/db/army.html
.arpa,infrastructure,Internet Architecture Board (IAB),https://www.iana.org/domains/root/db/arpa.html
.art,generic,UK Creative Ideas Limited,https://www.iana.org/domains/root/db/art.html
.arte,generic,Association Relative à la Télévision Européenne G.E.I.E.,https://www.iana.org/domains/root/db/arte.html
.as,country-code,AS Domain Registry,https://www.iana.org/domains/root/db/as.html
.asda,generic,"Wal-Mart Stores, Inc.",https://www.iana.org/domains/root/db/asda.html
.asia,sponsored,DotAsia Organisation Ltd.,https://www.iana.org/domains/root/db/asia.html
.associates,generic,"Baxter Hill, LLC",https://www.iana.org/domains/root/db/associates.html
.at,country-code,nic.at GmbH,https://www.iana.org/domains/root/db/at.html
.athleta,generic,"The Gap, Inc.",https://www.iana.org/domains/root/db/athleta.html
.attorney,generic,"United TLD Holdco, Ltd",https://www.iana.org/domains/root/db/attorney.html
.au,country-code,.au Domain Administration (auDA),https://www.iana.org/domains/root/db/au.html
.auction,generic,"United TLD HoldCo, Ltd.",https://www.iana.org/domains/root/db/auction.html
.audi,generic,AUDI Aktiengesellschaft,https://www.iana.org/domains/root/db/audi.html
.audible,generic,"Amazon Registry Services, Inc.",https://www.iana.org/domains/root/db/audible.html
.audio,generic,"Uniregistry, Corp.",https://www.iana.org/domains/root/db/audio.html
.auspost,generic,Australian Postal Corporation,https://www.iana.org/domains/root/db/auspost.html
.author,generic,"Amazon Registry Services, Inc.",https://www.iana.org/domains/root/db/author.html
.auto,generic,Cars Registry Limited,https://www.iana.org/domains/root/db/auto.html
.autos,generic,"DERAutos, LLC",https://www.iana.org/domains/root/db/autos.html
.avianca,generic,Aerovias del Continente Americano S.A. Avianca,https://www.iana.org/domains/root/db/avianca.html
.aw,country-code,SETAR,https://www.iana.org/domains/root/db/aw.html
.aws,generic,"Amazon Registry Services, Inc.",https://www.iana.org/domains/root/db/aws.html
.ax,country-code,Ålands landskapsregering,https://www.iana.org/domains/root/db/ax.html
.axa,generic,AXA SA,https://www.iana.org/domains/root/db/axa.html
.az,country-code,IntraNS,https://www.iana.org/domains/root/db/az.html
.azure,generic,Microsoft Corporation,https://www.iana.org/domains/root/db/azure.html
.ba,country-code,Universtiy Telinformatic Centre (UTIC),https://www.iana.org/domains/root/db/ba.html
.baby,generic,"Johnson & Johnson Services, Inc.",https://www.iana.org/domains/root/db/baby.html
.baidu,generic,"Baidu, Inc.",https://www.iana.org/domains/root/db/baidu.html
.banamex,generic,Citigroup Inc.,https://www.iana.org/domains/root/db/banamex.html
.bananarepublic,generic,"The Gap, Inc.",https://www.iana.org/domains/root/db/bananarepublic.html
.band,generic,"United TLD Holdco, Ltd",https://www.iana.org/domains/root/db/band.html
.bank,generic,"fTLD Registry Services, LLC",https://www.iana.org/domains/root/db/bank.html
.bar,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable,https://www.iana.org/domains/root/db/bar.html
.barcelona,generic,Municipi de Barcelona,https://www.iana.org/domains/root/db/barcelona.html
.barclaycard,generic,Barclays Bank PLC,https://www.iana.org/domains/root/db/barclaycard.html
.barclays,generic,Barclays Bank PLC,https://www.iana.org/domains/root/db/barclays.html
.barefoot,generic,"Gallo Vineyards, Inc.",https://www.iana.org/domains/root/db/barefoot.html
.bargains,generic,"Half Hallow, LLC",https://www.iana.org/domains/root/db/bargains.html
.bauhaus,generic,Werkhaus GmbH,https://www.iana.org/domains/root/db/bauhaus.html
.bayern,generic,Bayern Connect GmbH,https://www.iana.org/domains/root/db/bayern.html
.bb,country-code,"Government of Barbados
Ministry of Economic Affairs and Development
Telecommunications Unit",https://www.iana.org/domains/root/db/bb.html
.bbc,generic,British Broadcasting Corporation,https://www.iana.org/domains/root/db/bbc.html
.bbt,generic,BB&T Corporation,https://www.iana.org/domains/root/db/bbt.html
.bbva,generic,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",https://www.iana.org/domains/root/db/bbva.html
.bcg,generic,"The Boston Consulting Group, Inc.",https://www.iana.org/domains/root/db/bcg.html
.bcn,generic,Municipi de Barcelona,https://www.iana.org/domains/root/db/bcn.html
.bd,country-code,"Ministry of Post & Telecommunications
Bangladesh Secretariat",https://www.iana.org/domains/root/db/bd.html
.be,country-code,DNS Belgium vzw/asbl,https://www.iana.org/domains/root/db/be.html
.beats,generic,"Beats Electronics, LLC",https://www.iana.org/domains/root/db/beats.html
.beauty,generic,L'Oréal,https://www.iana.org/domains/root/db/beauty.html
.beer,generic,Top Level Domain Holdings Limited,https://www.iana.org/domains/root/db/beer.html
.bentley,generic,Bentley Motors Limited,https://www.iana.org/domains/root/db/bentley.html
.berlin,generic,dotBERLIN GmbH & Co. KG,https://www.iana.org/domains/root/db/berlin.html
.best,generic,BestTLD Pty Ltd,https://www.iana.org/domains/root/db/best.html
.bestbuy,generic,"BBY Solutions, Inc.",https://www.iana.org/domains/root/db/bestbuy.html
.bet,generic,Afilias plc,https://www.iana.org/domains/root/db/bet.html
.bf,country-code,ARCE-AutoritÈ de RÈgulation des Communications Electroniques,https://www.iana.org/domains/root/db/bf.html
.bg,country-code,Register.BG,https://www.iana.org/domains/root/db/bg.html
.bh,country-code,Telecommunications Regulatory Authority (TRA),https://www.iana.org/domains/root/db/bh.html
.bharti,generic,Bharti Enterprises (Holding) Private Limited,https://www.iana.org/domains/root/db/bharti.html
.bi,country-code,Centre National de l'Informatique,https://www.iana.org/domains/root/db/bi.html
.bible,generic,American Bible Society,https://www.iana.org/domains/root/db/bible.html
.bid,generic,dot Bid Limited,https://www.iana.org/domains/root/db/bid.html
.bike,generic,"Grand Hollow, LLC",https://www.iana.org/domains/root/db/bike.html
.bing,generic,Microsoft Corporation,https://www.iana.org/domains/root/db/bing.html
.bingo,generic,"Sand Cedar, LLC",https://www.iana.org/domains/root/db/bingo.html
.bio,generic,STARTING DOT LIMITED,https://www.iana.org/domains/root/db/bio.html
.biz,generic-restricted,"Neustar, Inc.",https://www.iana.org/domains/root/db/biz.html
.bj,country-code,Benin Telecoms S.A.,https://www.iana.org/domains/root/db/bj.html
.bl,country-code,Not assigned,https://www.iana.org/domains/root/db/bl.html
.black,generic,Afilias Limited,https://www.iana.org/domains/root/db/black.html
.blackfriday,generic,"Uniregistry, Corp.",https://www.iana.org/domains/root/db/blackfriday.html
